train/learning_rate,time/total_timesteps,train/n_updates,train/actor_loss,train/critic_loss,train/reward,time/episodes,time/fps,time/time_elapsed
0.001,10340,7755,165.41986270585664,156.18563644438694,1.6263274,4,35,294
0.001,20680,18095,129.19314262815305,40.063521128051285,1.6263274,8,32,640
0.001,31020,28435,100.65361719751506,20.39469344878796,1.6263274,12,31,991
0.001,41360,38775,79.46878048510005,17.94163742720274,1.6263274,16,32,1275
0.001,51700,49115,64.43291735575295,8.984838555629295,1.6263274,20,33,1549
