,date,daily_return
0,2020-07-01,0.0
1,2020-07-02,0.004582739227046956
2,2020-07-06,0.015611856345816471
3,2020-07-07,-0.014054451471155714
4,2020-07-08,0.004669527604329791
5,2020-07-09,-0.014335309587926379
6,2020-07-10,0.013209415782567475
7,2020-07-13,-0.0003281538956837303
8,2020-07-14,0.019195372500354628
9,2020-07-15,0.008202772653556123
10,2020-07-16,-0.002499645383447001
11,2020-07-17,0.00034416777028718884
12,2020-07-20,-0.001380398035057144
13,2020-07-21,0.0071315427432841584
14,2020-07-22,0.004961862739898988
15,2020-07-23,-0.008115781859206273
16,2020-07-24,-0.009830592903751973
17,2020-07-27,0.0035772261672730463
18,2020-07-28,-0.005593951421058858
19,2020-07-29,0.0049643598201211964
20,2020-07-30,-0.009976448487601845
21,2020-07-31,-0.0010964039704095525
22,2020-08-03,0.008207052478077752
23,2020-08-04,0.003695169859314405
24,2020-08-05,0.01189825894851491
25,2020-08-06,0.003980690115076088
26,2020-08-07,0.0037523982706893543
27,2020-08-10,0.011226155952241109
28,2020-08-11,-0.002500432634658103
29,2020-08-12,0.009437681515117294
30,2020-08-13,-0.006965419989135015
31,2020-08-14,0.001554219669904495
32,2020-08-17,-0.0024324438779570745
33,2020-08-18,-0.0013812631952960504
34,2020-08-19,-0.0028895241260920284
35,2020-08-20,0.00013568813974311434
36,2020-08-21,0.0027201054399468593
37,2020-08-24,0.011722903772844098
38,2020-08-25,0.00236415413445434
39,2020-08-26,0.007949568523561344
40,2020-08-27,0.007926603848113244
41,2020-08-28,0.005465830361874693
42,2020-08-31,-0.006970004629424788
43,2020-09-01,0.0033263568038100523
44,2020-09-02,0.017264251854402078
45,2020-09-03,-0.023741714115950115
46,2020-09-04,-0.003559477738510207
47,2020-09-08,-0.020727133781048134
48,2020-09-09,0.013461758013860417
49,2020-09-10,-0.014039249645990102
50,2020-09-11,0.0061602669066173794
51,2020-09-14,0.010490960561083514
52,2020-09-15,-0.0013294218401918303
53,2020-09-16,0.004027422075782196
54,2020-09-17,-0.0035973413270886274
55,2020-09-18,-0.007351162742809159
56,2020-09-21,-0.020431826264720412
57,2020-09-22,0.003623658156332227
58,2020-09-23,-0.01577250516381718
59,2020-09-24,0.0011126584206854338
60,2020-09-25,0.011185008975420468
61,2020-09-28,0.014718303398250596
62,2020-09-29,-0.006000016257752633
63,2020-09-30,0.010390423692287348
64,2020-10-01,-0.0008744440275888542
65,2020-10-02,-0.0038068013030594277
66,2020-10-05,0.015514165781520699
67,2020-10-06,-0.012228729834307703
68,2020-10-07,0.01723069063598187
69,2020-10-08,0.007885730174986108
70,2020-10-09,0.0034007680064125504
71,2020-10-12,0.008169690112186863
72,2020-10-13,-0.007557327090340126
73,2020-10-14,-0.0049019530426619995
74,2020-10-15,0.000695045746106536
75,2020-10-16,0.003433223265549849
76,2020-10-19,-0.014663357529055286
77,2020-10-20,0.0033171382499399037
78,2020-10-21,-0.0026801061790510208
79,2020-10-22,0.008647106808144647
80,2020-10-23,-0.0021162409298360616
81,2020-10-26,-0.02146845301637247
82,2020-10-27,-0.010764172604888022
83,2020-10-28,-0.03292634979797047
84,2020-10-29,0.0041470386203691385
85,2020-10-30,-0.003619121979482982
86,2020-11-02,0.016418311016878715
87,2020-11-03,0.017870750573310216
88,2020-11-04,0.00938485293896635
89,2020-11-05,0.017241549330960945
90,2020-11-06,-0.0012922120830852297
91,2020-11-09,0.03706403785314029
92,2020-11-10,0.011814241267749584
93,2020-11-11,-0.0012725085852658144
94,2020-11-12,-0.011070263197112363
95,2020-11-13,0.017258537761073788
96,2020-11-16,0.016702888133863784
97,2020-11-17,-0.006690014484291634
98,2020-11-18,-0.012583638208851097
99,2020-11-19,0.0017300624747209623
100,2020-11-20,-0.0056907151486177325
101,2020-11-23,0.011569312563226507
102,2020-11-24,0.01552292527363714
103,2020-11-25,-0.004501954608934862
104,2020-11-27,0.00013397977656951542
105,2020-11-30,-0.007159858356845866
106,2020-12-01,0.008549861634700468
107,2020-12-02,0.005341018208039031
108,2020-12-03,0.004440039760139581
109,2020-12-04,0.009511909408272593
110,2020-12-07,-0.005826739454392861
111,2020-12-08,0.004166164838861995
112,2020-12-09,-0.002283203278312987
113,2020-12-10,-0.0022223820777384573
114,2020-12-11,0.0008670355113370566
115,2020-12-14,-0.007937802360594756
116,2020-12-15,0.010856649401125611
117,2020-12-16,-0.0029496648933514387
118,2020-12-17,0.00477164699177184
119,2020-12-18,-0.0040419330700187245
120,2020-12-21,-0.0010882232101450705
121,2020-12-22,-0.006480510915565661
122,2020-12-23,0.0039936332600765696
123,2020-12-24,0.002263108470986017
124,2020-12-28,0.006499076031297217
125,2020-12-29,-0.0005799923460410713
126,2020-12-30,0.0013512342440583358
127,2020-12-31,0.0072473857550744295
128,2021-01-04,-0.01069140099911151
129,2021-01-05,0.005300843097237566
130,2021-01-06,0.014480624379060777
131,2021-01-07,0.008656385595210064
132,2021-01-08,0.001194729510999223
133,2021-01-11,-0.0001836321738891551
134,2021-01-12,0.0005912659201364756
135,2021-01-13,0.00047072143592923223
136,2021-01-14,-0.00019285042455571355
137,2021-01-15,-0.005094140289316278
138,2021-01-19,0.0039556358663691525
139,2021-01-20,0.0066828434499619956
140,2021-01-21,-0.0014106455104883173
141,2021-01-22,-0.007735819719083822
142,2021-01-25,-0.0002896823294119585
143,2021-01-26,0.00011815060190116538
144,2021-01-27,-0.01902548614043928
145,2021-01-28,0.009522402106472259
146,2021-01-29,-0.01926175021586561
147,2021-02-01,0.006688505994352117
148,2021-02-02,0.01259881498403906
