,date,open,high,low,close,volume,tic,day
0,2015-11-27,3.380000114440918,3.4700000286102295,3.259999990463257,3.4000000953674316,2223644,IEL,4
1,2016-01-27,2.1029999256134033,2.1050000190734863,2.1029999256134033,2.1050000190734863,0,IEL,2
