train/n_updates,train/value_loss,train/entropy_loss,train/explained_variance,time/iterations,train/policy_loss,time/fps,train/learning_rate,time/time_elapsed,train/std,time/total_timesteps,train/reward
4899,17.71621322631836,-43.297271728515625,-1.1920928955078125e-07,4900,-134.62826538085938,55,0.0007,441,1.0253360271453857,24500,3.942583
4999,0.812947154045105,-43.2641716003418,0.0,5000,34.969627380371094,55,0.0007,450,1.02449631690979,25000,-0.3342607
5099,23.007692337036133,-43.25152587890625,0.0,5100,197.14480590820312,55,0.0007,460,1.023983359336853,25500,-0.4442813
5199,2.1083216667175293,-43.37356948852539,-0.0001264810562133789,5200,27.539892196655273,55,0.0007,469,1.0282776355743408,26000,0.968167
5299,9.455526351928711,-43.362457275390625,0.0,5300,111.99283599853516,55,0.0007,478,1.0278539657592773,26500,0.09961546
5399,5.464873313903809,-43.400672912597656,0.0,5400,-9.569320678710938,55,0.0007,487,1.0292249917984009,27000,-0.71684086
5499,93.89002990722656,-43.42734909057617,0.0,5500,343.0883483886719,55,0.0007,497,1.0302108526229858,27500,-2.7067456
5599,28.238327026367188,-43.45716857910156,-1.1920928955078125e-07,5600,30.595550537109375,55,0.0007,506,1.031364917755127,28000,-7.4476066
5699,2.2656986713409424,-43.50797653198242,4.374980926513672e-05,5700,-62.10101318359375,55,0.0007,516,1.0329002141952515,28500,-0.52084786
5799,28.293771743774414,-43.57249069213867,0.0,5800,194.5938262939453,55,0.0007,524,1.0349928140640259,29000,-0.17483193
5899,8.812416076660156,-43.578773498535156,0.0,5900,-82.57978057861328,55,0.0007,533,1.0352976322174072,29500,-1.3103094
5999,70.53533172607422,-43.612796783447266,0.0,6000,-296.83245849609375,55,0.0007,542,1.0365488529205322,30000,0.8832117
6099,7.6487860679626465,-43.546592712402344,0.0,6100,61.5849723815918,55,0.0007,551,1.0339940786361694,30500,2.5856688
6199,389.35833740234375,-43.468387603759766,-2.384185791015625e-07,6200,809.505859375,55,0.0007,560,1.0315511226654053,31000,5.7035847
6299,2.5249838829040527,-43.458370208740234,0.0,6300,45.65507507324219,55,0.0007,569,1.0312706232070923,31500,0.10304965
6399,11.002969741821289,-43.498233795166016,0.0,6400,-122.26347351074219,55,0.0007,579,1.0327131748199463,32000,-0.30521715
6499,2.0007152557373047,-43.512996673583984,0.0,6500,21.291860580444336,55,0.0007,587,1.033209204673767,32500,-0.063566655
6599,3.6710803508758545,-43.45289993286133,-1.1920928955078125e-07,6600,-50.07280349731445,55,0.0007,597,1.0312683582305908,33000,-0.60402864
6699,57.567291259765625,-43.438106536865234,5.960464477539063e-08,6700,342.5651550292969,55,0.0007,608,1.031103253364563,33500,-0.86517966
6799,2.353851556777954,-43.47234344482422,0.0,6800,-22.942398071289062,54,0.0007,618,1.031977891921997,34000,-1.1941769
6899,16.23369789123535,-43.45204162597656,1.1920928955078125e-07,6900,-25.935094833374023,54,0.0007,629,1.0314931869506836,34500,2.5239706
6999,11.085055351257324,-43.37834167480469,0.0,7000,-110.97001647949219,54,0.0007,639,1.0287842750549316,35000,2.8129659
7099,7.432613372802734,-43.39238357543945,5.960464477539063e-08,7100,-102.6387710571289,54,0.0007,650,1.0295354127883911,35500,1.4095851
7199,2.9283969402313232,-43.356101989746094,5.960464477539063e-08,7200,-0.8545295596122742,54,0.0007,659,1.028336763381958,36000,5.735496
7299,3.1772468090057373,-43.358943939208984,1.1920928955078125e-07,7300,-30.593704223632812,54,0.0007,668,1.0285319089889526,36500,2.516352
7399,1.9534733295440674,-43.41153335571289,0.0,7400,50.541770935058594,54,0.0007,677,1.0303393602371216,37000,1.0879294
7499,232.4366455078125,-43.49796676635742,0.0,7500,-625.5736694335938,54,0.0007,686,1.0332837104797363,37500,-7.6820407
7599,3.7152442932128906,-43.54286575317383,0.0,7600,-25.793880462646484,54,0.0007,695,1.0347307920455933,38000,0.30563524
7699,27.632314682006836,-43.48677062988281,-1.1920928955078125e-07,7700,-211.3224639892578,54,0.0007,706,1.0329351425170898,38500,4.0911627
7799,3.821824312210083,-43.52009201049805,0.0,7800,-70.68083953857422,54,0.0007,716,1.0339674949645996,39000,-1.5158892
7899,0.3118244707584381,-43.5886116027832,1.1920928955078125e-07,7900,1.260772705078125,54,0.0007,727,1.0366042852401733,39500,-0.44011998
7999,10.44120979309082,-43.60158920288086,0.0,8000,5.731025695800781,54,0.0007,737,1.0369774103164673,40000,0.35158694
8099,21.12875747680664,-43.616363525390625,0.0,8100,-182.31918334960938,54,0.0007,748,1.0374374389648438,40500,1.407456
8199,7.340716361999512,-43.66729736328125,0.0,8200,-93.46126556396484,54,0.0007,757,1.0390206575393677,41000,-0.59443116
8299,1.6308996677398682,-43.65712356567383,-1.1920928955078125e-07,8300,-47.227699279785156,54,0.0007,766,1.0386823415756226,41500,-5.510158
8399,1.2563045024871826,-43.64752197265625,0.0,8400,-40.11157989501953,54,0.0007,775,1.0383851528167725,42000,-0.61630774
8499,5.009847640991211,-43.66913604736328,0.0,8500,46.208316802978516,54,0.0007,784,1.0391544103622437,42500,0.023934107
8599,1.119282841682434,-43.66349792480469,0.0,8600,-15.992654800415039,54,0.0007,793,1.0387204885482788,43000,-1.4718361
8699,21.148550033569336,-43.623374938964844,0.0,8700,151.7440185546875,54,0.0007,801,1.0375934839248657,43500,5.258223
8799,0.17327100038528442,-43.655452728271484,0.0,8800,-10.304426193237305,54,0.0007,810,1.0386645793914795,44000,-0.71412563
8899,1.9776026010513306,-43.66790771484375,-1.1920928955078125e-07,8900,-54.82157516479492,54,0.0007,819,1.039391279220581,44500,-1.2821208
8999,1.0080926418304443,-43.7249755859375,-1.1920928955078125e-07,9000,-39.85343933105469,54,0.0007,828,1.0412307977676392,45000,0.0064231353
9099,201.17666625976562,-43.67198181152344,0.0,9100,594.8924560546875,54,0.0007,837,1.0396071672439575,45500,4.0866995
9199,10.50562858581543,-43.67900848388672,0.0,9200,109.98565673828125,54,0.0007,846,1.039664387702942,46000,-5.6724586
9299,25.71053123474121,-43.66672134399414,0.0,9300,155.81399536132812,54,0.0007,855,1.0390617847442627,46500,7.7459993
9399,7.5289411544799805,-43.706787109375,0.0,9400,-110.82893371582031,54,0.0007,865,1.0405133962631226,47000,-1.3191379
9499,24.158344268798828,-43.766090393066406,0.0,9500,-206.1342315673828,54,0.0007,874,1.0423606634140015,47500,1.2758216
9599,48.48191833496094,-43.72203063964844,0.0,9600,-253.13858032226562,54,0.0007,883,1.040871262550354,48000,3.2034469
9699,58.97185134887695,-43.73199462890625,0.0,9700,309.7862854003906,54,0.0007,892,1.0412086248397827,48500,1.5616322
9799,12.385359764099121,-43.713134765625,-1.1920928955078125e-07,9800,111.0905532836914,54,0.0007,901,1.0406538248062134,49000,4.9700713
9899,1.6310203075408936,-43.756004333496094,0.0,9900,24.255571365356445,54,0.0007,910,1.0419692993164062,49500,0.34688148
9999,2.3194150924682617,-43.74555587768555,5.960464477539063e-08,10000,-39.040428161621094,54,0.0007,920,1.0416603088378906,50000,-0.8672676
