time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/reward,train/entropy_loss,train/loss,train/clip_fraction,train/std,train/clip_range,train/policy_gradient_loss,train/n_updates,train/value_loss,train/explained_variance,train/learning_rate,train/approx_kl
87,23,2048,1,4.0592203,,,,,,,,,,,
91,44,4096,2,-2.159677,-42.65032606124878,16.78411293029785,0.200927734375,1.0051766633987427,0.2,-0.022458975634071975,10,80.50584942102432,-0.0099029541015625,0.00025,0.018641617
93,65,6144,3,-0.4911504,-42.74131247997284,27.357492446899414,0.26923828125,1.0065377950668335,0.2,-0.025045942547149026,20,62.26090520620346,-0.002039790153503418,0.00025,0.01949444
94,86,8192,4,-1.0691344,-42.816319823265076,10.713705062866211,0.206494140625,1.0100661516189575,0.2,-0.019589985990023706,30,79.49217772483826,0.028332829475402832,0.00025,0.020603677
95,107,10240,5,-3.1217067,-42.961309742927554,43.736976623535156,0.31220703125,1.0159528255462646,0.2,-0.01365061227697879,40,108.53281425237655,0.051822781562805176,0.00025,0.023066852
95,128,12288,6,-2.244483,-43.10631308555603,130.0479278564453,0.292236328125,1.0198291540145874,0.2,-0.01043486339331139,50,75.37129166126252,0.1082187294960022,0.00025,0.022772666
95,150,14336,7,2.2637844,-43.17100968360901,10.341814994812012,0.20654296875,1.0211405754089355,0.2,-0.01420408425910864,60,63.63109511137009,0.12729370594024658,0.00025,0.016262408
95,171,16384,8,1.1457258,-43.22324035167694,32.403221130371094,0.200634765625,1.0235397815704346,0.2,-0.0159776465719915,70,154.48963432312013,0.09967935085296631,0.00025,0.021768956
95,192,18432,9,0.23370826,-43.27424104213715,23.311540603637695,0.24287109375,1.0242050886154175,0.2,-0.012433342868462205,80,158.4016287088394,0.09792321920394897,0.00025,0.022010868
96,213,20480,10,3.1912692,-43.316748070716855,137.50791931152344,0.231201171875,1.0263447761535645,0.2,-0.014794358989456668,90,83.75044859051704,0.15979444980621338,0.00025,0.02112437
96,234,22528,11,1.8670269,-43.35859973430634,44.4132080078125,0.239697265625,1.0274217128753662,0.2,-0.013215656278771349,100,49.285961949825285,0.14376193284988403,0.00025,0.019484561
96,254,24576,12,1.2204263,-43.38692727088928,39.916778564453125,0.172314453125,1.0283960103988647,0.2,-0.014977985125733539,110,93.95011568069458,0.11248540878295898,0.00025,0.018757598
96,275,26624,13,0.49629197,-43.424018836021425,24.980749130249023,0.228369140625,1.0296592712402344,0.2,-0.014758730457106139,120,126.25707006454468,0.08968865871429443,0.00025,0.02018834
96,296,28672,14,0.3765069,-43.480570936203,14.70974063873291,0.300244140625,1.0326052904129028,0.2,-0.015874558918585534,130,106.55656998157501,0.1401464343070984,0.00025,0.035004307
96,317,30720,15,-1.3072859,-43.53471741676331,521.1004028320312,0.16220703125,1.0332468748092651,0.2,-0.013377055917226243,140,1433.3360664367676,0.012763023376464844,0.00025,0.016213335
96,338,32768,16,0.28919002,-43.58555309772491,13.702280044555664,0.35771484375,1.035713791847229,0.2,-0.0041331721935421225,150,54.02883231639862,0.029911160469055176,0.00025,0.046311066
96,359,34816,17,2.320474,-43.66378390789032,19.35484504699707,0.25947265625,1.038838267326355,0.2,-0.01092452043958474,160,45.7074956536293,0.21771878004074097,0.00025,0.027561057
