train/learning_rate,time/iterations,train/entropy_loss,time/total_timesteps,train/value_loss,train/explained_variance,train/n_updates,train/std,train/reward,train/policy_loss,time/fps,time/time_elapsed
0.0007,100,-42.638038635253906,500,9.177244186401367,-1.1920928955078125e-07,99,1.0024341344833374,-0.12433443,-100.95487976074219,54,9
0.0007,200,-42.581993103027344,1000,61.04133224487305,-1.1920928955078125e-07,199,1.0006321668624878,10.609722,309.4150390625,54,18
0.0007,300,-42.572914123535156,1500,88.19972229003906,0.0,299,1.0004976987838745,1.6635258,386.52734375,55,27
0.0007,400,-42.59543228149414,2000,786.3089599609375,0.0,399,1.001430630683899,59.3306,-1020.4871826171875,55,36
0.0007,500,-42.588375091552734,2500,169.09817504882812,0.0,499,1.0009695291519165,-50.899265,-111.48592376708984,55,45
0.0007,600,-42.56884765625,3000,26.882095336914062,-0.0005730390548706055,599,1.0003042221069336,10.529587,-200.29061889648438,55,53
0.0007,700,-42.5794563293457,3500,145.05624389648438,0.0,699,1.0007023811340332,1.9788064,490.7508850097656,56,62
0.0007,800,-42.565242767333984,4000,151.54733276367188,0.0,799,1.0001986026763916,-3.929134,398.6843566894531,55,71
0.0007,900,-42.575836181640625,4500,1399.3951416015625,-1.1920928955078125e-07,899,1.0007174015045166,7.5825224,-1342.484375,56,80
0.0007,1000,-42.59623718261719,5000,77.25421905517578,-1.1920928955078125e-07,999,1.0014127492904663,-0.14495529,-28.638097763061523,56,89
0.0007,1100,-42.60422897338867,5500,2.1169819831848145,1.1920928955078125e-07,1099,1.0017777681350708,2.4874575,2.5801117420196533,56,97
0.0007,1200,-42.532676696777344,6000,0.2721503973007202,0.0048934221267700195,1199,0.999608039855957,-1.6160152,-13.89826488494873,56,106
0.0007,1300,-42.53070068359375,6500,34.193077087402344,0.0,1299,0.9993742108345032,0.51229817,-7.294921875,56,115
0.0007,1400,-42.50926208496094,7000,244.2454071044922,0.0,1399,0.9987035989761353,2.2995489,633.1483154296875,56,124
0.0007,1500,-42.504356384277344,7500,96.6515884399414,0.0,1499,0.9984182715415955,-5.8517947,40.36122512817383,56,133
0.0007,1600,-42.44795227050781,8000,0.7812683582305908,0.0,1599,0.9967267513275146,-1.2739156,-18.719650268554688,56,142
0.0007,1700,-42.41933822631836,8500,15.189584732055664,1.7881393432617188e-07,1699,0.9956556558609009,2.0266216,127.45533752441406,56,151
0.0007,1800,-42.442359924316406,9000,37.94746398925781,-1.1920928955078125e-07,1799,0.996600866317749,0.54670495,149.64675903320312,56,159
0.0007,1900,-42.41735076904297,9500,6.497632026672363,0.0,1899,0.9959177374839783,-3.0863407,35.154693603515625,56,168
0.0007,2000,-42.39619827270508,10000,24.657485961914062,0.0,1999,0.9951897263526917,9.140593,-95.56329345703125,56,177
0.0007,2100,-42.40402603149414,10500,2.6871416568756104,-0.0050133466720581055,2099,0.9955120086669922,0.10531089,-50.89295959472656,56,186
