account_rewards,date
7623.301527892938,2022-07-08
-14520.203574890038,2022-07-11
3822.184763855068,2022-07-12
-12617.267170593375,2022-07-13
9362.149200439453,2022-07-14
35537.464431762695,2022-07-15
16939.741934326245,2022-07-18
3753.489031585632,2022-07-19
6360.894096374512,2022-07-20
55582.11436438002,2022-07-21
-11827.422748291166,2022-07-22
6859.6376953125,2022-07-25
26992.457464157138,2022-07-26
-6300.871095138602,2022-07-27
17366.48907470703,2022-07-28
23684.3540725708,2022-07-29
7207.296569824219,2022-08-01
-5520.966384887695,2022-08-02
2156.615450775251,2022-08-03
34724.93010231014,2022-08-04
-19117.58966064453,2022-08-05
-13587.391654968262,2022-08-08
1836.1631393432617,2022-08-10
-2734.8150249023456,2022-08-11
13688.611292388989,2022-08-12
-8471.507293701172,2022-08-16
17357.10801751702,2022-08-17
-13750.864059448242,2022-08-18
-39120.931869056774,2022-08-19
8166.918408737285,2022-08-22
1967.6145340804942,2022-08-23
-7255.812112136744,2022-08-24
13735.6005859375,2022-08-25
-6107.197334991535,2022-08-26
36022.07159423828,2022-08-29
-10290.231323242188,2022-08-30
-9021.033910003724,2022-09-01
-4642.009735107422,2022-09-02
-4506.339752197266,2022-09-05
50998.49136352539,2022-09-06
28899.50421142578,2022-09-07
-25035.997528076172,2022-09-08
15484.807525634766,2022-09-09
6770.503173828125,2022-09-12
-1363.0407409667969,2022-09-13
-19722.393795715412,2022-09-14
-59180.75897546369,2022-09-15
-4969.613922119141,2022-09-16
4896.533172607422,2022-09-19
-30549.36004774482,2022-09-20
-16408.89411346428,2022-09-21
-21058.35827063769,2022-09-22
124.15679931640625,2022-09-23
1918.03125,2022-09-26
-9738.751098632812,2022-09-27
448.4527282714844,2022-09-28
17896.030181884766,2022-09-29
-3817.1410217285156,2022-09-30
17112.2666015625,2022-10-03
4085.7615356445312,2022-10-04
-17708.41064453125,2022-10-06
-9662.72817993164,2022-10-07
