account_rewards,date
26509.973188293632,2022-04-07
5216.859937255736,2022-04-08
-11171.763337585377,2022-04-11
-1702.4226684570312,2022-04-12
-7221.5684814453125,2022-04-13
-21725.22540283203,2022-04-18
27143.332580566406,2022-04-19
8146.7841796875,2022-04-20
-18653.203063964844,2022-04-21
-23193.949462890625,2022-04-22
21728.822509765625,2022-04-25
-15792.486633300781,2022-04-26
13205.474487304688,2022-04-27
-2009.0502319335938,2022-04-28
-1241225.3330688477,2022-04-29
1220196.3928222656,2022-05-02
-30534.616821289062,2022-05-04
-30736.004943847656,2022-05-05
-10452.124572753906,2022-05-06
5792.425537109375,2022-05-09
284.53607177734375,2022-05-10
-38917.42791748047,2022-05-11
-2957.4874877929688,2022-05-12
-15558.299499511719,2022-05-13
29260.197509765625,2022-05-16
9250.413024902344,2022-05-17
-39385.8564453125,2022-05-18
29733.336791992188,2022-05-19
-43561.60388183594,2022-05-20
-6700.55517578125,2022-05-23
-14209.716186523438,2022-05-24
20294.09552001953,2022-05-25
15976.426879882812,2022-05-26
19095.92169189453,2022-05-27
6529.5953369140625,2022-05-30
-7447.1221923828125,2022-05-31
8157.1495361328125,2022-06-01
-45160.72821044922,2022-06-02
-3700.114990234375,2022-06-03
-7448.3721923828125,2022-06-06
-2377.6781005859375,2022-06-07
-4925.891174316406,2022-06-08
411.55279541015625,2022-06-09
-31571.979736328125,2022-06-10
4173.1199951171875,2022-06-13
3553.7066650390625,2022-06-14
-29696.625610351562,2022-06-15
-13293.977416992188,2022-06-16
10077.788452148438,2022-06-17
23067.177795410156,2022-06-20
-17711.745239257812,2022-06-21
12030.347412109375,2022-06-22
20342.08087158203,2022-06-23
16266.712890625,2022-06-24
6823.564636230469,2022-06-27
2913.096923828125,2022-06-28
-11489.672546386719,2022-06-29
21480.528564453125,2022-06-30
-4108.49462890625,2022-07-01
138.72705078125,2022-07-04
20043.132751464844,2022-07-05
14340.774353027344,2022-07-06
