account_rewards,date
-24320.816924468847,2021-10-05
24780.988237487618,2021-10-06
-1408.635129928356,2021-10-07
3822.399008285487,2021-10-08
665.2017362213228,2021-10-11
6250.848533356097,2021-10-12
8572.241339218104,2021-10-13
7122.41949070734,2021-10-14
-21873.57488462818,2021-10-18
-29534.067217193544,2021-10-19
-6635.838367370423,2021-10-20
-4896.596146484371,2021-10-21
-13848.557178893825,2021-10-22
10256.63826541137,2021-10-25
-2279.3301528929733,2021-10-26
-12313.235196182271,2021-10-27
-7782.848833328113,2021-10-28
11272.143373443512,2021-10-29
-9433.123513122322,2021-11-01
-8171.8376296081115,2021-11-02
2101.7604620512575,2021-11-03
35471.11478741467,2021-11-04
-7401.987552825827,2021-11-08
-10916.825942993164,2021-11-09
-9173.20641314704,2021-11-10
12286.72476353473,2021-11-11
-1795.4852905883454,2021-11-12
15541.848600982688,2021-11-15
20120.76658502198,2021-11-16
-14228.39596551517,2021-11-17
-3598.938748290995,2021-11-18
-16894.57995957951,2021-11-22
-13167.609016113216,2021-11-23
-4228.962182250805,2021-11-24
-33068.167257904075,2021-11-25
-5739.411315124482,2021-11-26
-12747.931012405315,2021-11-29
-3218.093116172822,2021-11-30
16545.048483253457,2021-12-01
-16416.27953272988,2021-12-02
-26392.665024734568,2021-12-03
10326.163673645118,2021-12-06
15139.984571891837,2021-12-07
3255.3857988738455,2021-12-08
1586.9568889467046,2021-12-09
-2012.0348284759093,2021-12-10
4002.599752334645,2021-12-13
-8480.798794784583,2021-12-14
9363.724811920198,2021-12-15
-17392.4007174226,2021-12-16
-20744.564141235314,2021-12-17
15141.395791290328,2021-12-20
12970.052854171954,2021-12-21
9913.157848281786,2021-12-22
-4910.8459677123465,2021-12-23
139.96625399799086,2021-12-24
11238.741683837958,2021-12-27
10403.364541259827,2021-12-28
-2336.77154309093,2021-12-29
8879.367048828164,2021-12-30
22797.15655273432,2021-12-31
12922.358804443618,2022-01-03
