account_rewards,date
-2981.2484390258323,2021-07-05
9378.76716656494,2021-07-06
-18937.955209548818,2021-07-07
-12814.324566886993,2021-07-08
-5011.2793045043945,2021-07-09
1619.513053894043,2021-07-12
285.91273498535156,2021-07-13
-5867.551780700684,2021-07-14
100.17386627197266,2021-07-15
-13160.041473388672,2021-07-16
38930.47617340088,2021-07-19
-15206.278671264648,2021-07-20
-5748.610160827637,2021-07-22
-6831.498397827148,2021-07-23
-11864.4658203125,2021-07-26
-3966.8264541625977,2021-07-27
-6876.0336837768555,2021-07-28
-3080.5884017944336,2021-07-29
6669.044654846191,2021-07-30
16442.2244720459,2021-08-02
-1260.519790649414,2021-08-03
-9374.47183227539,2021-08-04
1244.0306549072266,2021-08-05
8077.36727142334,2021-08-06
-12727.689170837402,2021-08-09
-7228.688697814941,2021-08-10
5209.167221069336,2021-08-11
9473.278511047363,2021-08-12
-12921.049201965332,2021-08-13
14018.792198181152,2021-08-16
-824.4092330932617,2021-08-17
10011.687622070312,2021-08-18
-18509.322677612305,2021-08-20
2295.140037536621,2021-08-23
-6164.513771057129,2021-08-24
-403.88380432128906,2021-08-25
18.86993408203125,2021-08-26
22394.879371643066,2021-08-27
22926.845672607422,2021-08-30
28376.07070159912,2021-08-31
-2733.071075439453,2021-09-01
12435.906951904297,2021-09-02
-3369.5600357055664,2021-09-03
3685.397575378418,2021-09-06
-5809.372940063477,2021-09-07
44.21930694580078,2021-09-08
4439.287017822266,2021-09-09
9889.811317443848,2021-09-13
3947.0142135620117,2021-09-14
9095.605545043945,2021-09-15
-6676.325019836426,2021-09-16
-21870.518241882324,2021-09-17
9337.408111572266,2021-09-20
6832.716888427734,2021-09-21
10138.17082977295,2021-09-22
26691.816619873047,2021-09-23
7766.703414916992,2021-09-24
-13554.968032836914,2021-09-27
-14845.531555175781,2021-09-28
-28585.657424926758,2021-09-29
-12909.369430541992,2021-09-30
4409.50390625,2021-10-01
