account_value,date,daily_return
1000000.0,2020-09-29,
1010468.4732501527,2020-09-30,0.010468473250152766
1024164.5611409683,2020-10-01,0.013554196150981745
1044385.423046486,2020-10-05,0.019743762548267263
1059593.4401529236,2020-10-06,0.014561690321256648
1069005.994060196,2020-10-07,0.00888317495237989
1075639.0389973298,2020-10-08,0.006204871604078566
1062622.121496109,2020-10-09,-0.012101566630897453
1070881.0230529634,2020-10-12,0.00777219049912703
1075656.3365383912,2020-10-13,0.004459238125084974
1079245.273537491,2020-10-14,0.003336508954755457
1074345.8310480271,2020-10-15,-0.004539693255644073
1061577.9229480438,2020-10-16,-0.011884355792145862
1065706.7545520477,2020-10-19,0.0038893344659409745
1082892.2833301239,2020-10-20,0.016125945251515006
1078642.2871677093,2020-10-21,-0.003924671204918795
1072787.7960127373,2020-10-22,-0.005427648465687995
1081203.1490705987,2020-10-23,0.007844378067255242
1059024.710169552,2020-10-26,-0.02051273983072588
1107656.7346719934,2020-10-27,0.045921520088662904
1090085.0883096887,2020-10-28,-0.015863801313416914
1114648.5597109643,2020-10-29,0.022533535835596474
1112314.423789486,2020-10-30,-0.0020940554770766395
1082352.5566477624,2020-11-02,-0.026936508689375915
1073779.8338236657,2020-11-03,-0.007920453249214754
1084048.9526896325,2020-11-04,0.009563523678219
1116137.5666155664,2020-11-05,0.029600705619722056
1110318.7497706262,2020-11-06,-0.005213350951517981
1119293.278037533,2020-11-09,0.008082839516815099
1115385.8485331384,2020-11-10,-0.0034909791571744453
1103229.5894312707,2020-11-11,-0.010898703007443222
1097930.0511774865,2020-11-12,-0.0048036585535348175
1101478.994353756,2020-11-13,0.003232394606981881
1104302.1111368982,2020-11-14,0.0025630237141276435
1104932.8557886926,2020-11-17,0.0005711703757815823
1110933.912475094,2020-11-18,0.005431150549069175
1095752.8531794397,2020-11-19,-0.013665132664671176
1091259.8588862268,2020-11-20,-0.004100371977290296
1106329.5424189416,2020-11-23,0.013809436322614665
1115129.2611231653,2020-11-24,0.007953976068453716
1092287.5521311609,2020-11-25,-0.020483463028311277
1093614.6640696374,2020-11-26,0.0012149840359227948
1115572.1510004846,2020-11-27,0.02007790097577633
1122855.3423609582,2020-12-01,0.006528660072718573
1158100.2530436364,2020-12-02,0.03138864763164495
1198542.128293026,2020-12-03,0.03492087592857618
1209223.4834642296,2020-12-04,0.008911956383557573
1224953.485873684,2020-12-07,0.01300835008958856
1213495.7168001977,2020-12-08,-0.009353636040567048
1250261.6372713891,2020-12-09,0.030297528011172137
1251945.745212063,2020-12-10,0.0013470044112919854
1249382.0000643579,2020-12-11,-0.0020478085072854757
1261843.1151156274,2020-12-14,0.009973823098642143
1251338.7781710473,2020-12-15,-0.0083245982156962
1274570.1947665063,2020-12-16,0.018565249475776646
1272045.763797268,2020-12-17,-0.0019806135272923964
1283865.1330294458,2020-12-18,0.009291622651133924
1257823.313591305,2020-12-21,-0.020283921393434712
1279126.2883227502,2020-12-22,0.01693638089011218
1295510.39518005,2020-12-23,0.012808826623978975
1302536.2978980066,2020-12-24,0.005423270044066397
1318068.6995169641,2020-12-28,0.011924736104493405
1321856.5598914148,2020-12-29,0.0028737958619597936
