date,ASIANPAINT.BO,AXISBANK.BO,BAJAJ-AUTO.BO,BAJAJFINSV.BO,BAJFINANCE.BO,BHARTIARTL.BO,DRREDDY.BO,HCLTECH.BO,HDFCBANK.BO,HINDUNILVR.BO,ICICIBANK.BO,INDUSINDBK.BO,INFY.BO,ITC.BO,JSWSTEEL.BO,KOTAKBANK.BO,LT.BO,M&M.BO,MARUTI.BO,NESTLEIND.BO,NTPC.BO,ONGC.BO,POWERGRID.BO,RELIANCE.BO,SBIN.BO,SUNPHARMA.BO,TCS.BO,TECHM.BO,TITAN.BO,ULTRACEMCO.BO
2022-03-03,0,0,-2,0,0,0,62,0,0,0,100,0,0,-75,-78,0,0,-51,-2,0,-100,0,-11,0,100,2,-100,100,0,0
2022-03-04,0,0,0,100,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,-16,74,-2,0,-27,0,0
2022-03-07,0,0,0,-100,0,0,-10,-9,-30,0,-47,100,0,6,-21,100,0,100,0,0,0,0,0,-63,0,0,0,0,38,0
2022-03-08,0,0,0,0,0,0,0,1,0,0,-91,0,0,-7,100,0,0,-48,0,44,0,1,0,0,-29,0,0,-18,0,0
2022-03-09,0,0,0,0,0,73,0,0,0,100,0,-100,100,0,-100,-65,0,-10,0,0,3,0,0,0,-100,0,0,-77,0,0
2022-03-10,0,0,0,0,0,-73,-52,-1,0,0,0,0,-100,18,100,-35,0,-9,94,-44,-3,-1,1,0,-22,0,0,-53,-38,0
2022-03-11,0,0,0,100,0,0,0,0,0,-100,0,0,0,-33,-100,0,0,-31,-3,39,0,100,9,0,-76,0,0,-87,100,0
2022-03-14,0,0,0,-52,0,0,0,0,0,0,0,0,0,0,-62,0,0,-21,0,-29,14,0,-10,0,-47,0,0,0,-23,44
2022-03-15,0,0,0,-48,0,0,0,0,0,1,0,0,0,-28,100,0,0,0,27,-10,-14,-58,0,0,1,0,1,0,-38,-11
2022-03-16,0,0,0,0,24,0,100,0,0,-1,0,0,0,100,100,0,0,100,-100,0,1,-42,13,100,0,0,0,0,0,-33
2022-03-17,0,0,0,0,-4,0,0,0,0,0,0,0,0,-8,-100,0,0,0,0,0,-1,0,0,-29,1,0,-1,0,-39,44
2022-03-21,0,100,0,100,-20,0,0,0,100,0,0,0,0,6,64,0,0,-57,-18,68,95,1,-13,18,-2,0,0,0,0,-44
2022-03-22,0,-100,0,0,0,1,-36,0,0,0,100,0,0,0,-100,0,100,-5,0,-17,-10,-1,0,0,0,0,0,0,26,0
2022-03-23,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,16,0,-37,0,0,0,0,3,0,0,0,0,0,0,0
2022-03-24,0,100,0,0,50,0,-64,0,0,2,-100,1,0,100,0,-16,0,0,0,0,-32,0,0,-89,1,0,0,100,0,0
2022-03-25,0,100,0,-19,-50,0,92,0,0,0,0,0,0,-52,100,0,0,-1,0,-51,-53,0,0,0,0,0,0,0,-26,0
2022-03-28,0,0,0,0,0,0,-92,0,-90,-2,0,0,0,100,100,0,-29,0,0,0,3,0,-3,0,0,0,91,100,0,0
2022-03-29,0,0,0,0,0,0,0,0,-10,0,0,-1,0,0,0,0,-5,0,0,0,-3,16,0,0,0,0,-76,-100,0,68
2022-03-30,0,-53,0,-35,0,100,0,100,0,0,0,100,0,70,0,0,-56,0,0,0,100,-16,100,0,-1,0,-15,-48,0,0
2022-03-31,0,0,0,0,0,-100,0,0,0,0,0,0,0,1,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-01,0,-68,100,-46,0,0,0,-100,0,0,100,100,0,-25,0,0,-11,0,22,0,3,0,-17,0,0,0,0,0,0,-65
2022-04-04,0,-80,-100,0,0,0,0,0,0,0,-73,0,100,-100,0,0,0,100,0,87,-55,0,-83,0,100,100,0,0,0,-3
2022-04-05,0,0,0,67,0,1,0,0,0,0,-27,0,0,0,-100,0,100,-6,-10,0,0,0,0,0,-90,0,0,-52,0,0
