date,ASIANPAINT.BO,AXISBANK.BO,BAJAJ-AUTO.BO,BAJAJFINSV.BO,BAJFINANCE.BO,BHARTIARTL.BO,DRREDDY.BO,HCLTECH.BO,HDFCBANK.BO,HINDUNILVR.BO,ICICIBANK.BO,INDUSINDBK.BO,INFY.BO,ITC.BO,JSWSTEEL.BO,KOTAKBANK.BO,LT.BO,M&M.BO,MARUTI.BO,NESTLEIND.BO,NTPC.BO,ONGC.BO,POWERGRID.BO,RELIANCE.BO,SBIN.BO,SUNPHARMA.BO,TCS.BO,TECHM.BO,TITAN.BO,ULTRACEMCO.BO
2021-10-05,0,0,-45,0,0,0,0,0,0,88,0,0,0,4,-60,0,0,0,0,0,0,-1,0,0,0,0,0,-2,-11,0
2021-10-06,0,-5,1,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2021-10-07,-100,-59,0,0,0,100,0,0,0,-88,0,-100,0,-5,100,0,100,0,44,0,0,0,17,0,0,100,0,0,0,0
2021-10-08,-94,30,27,54,0,-79,0,0,1,0,0,100,0,0,65,0,46,0,-44,100,85,38,-17,34,0,-54,0,0,0,0
2021-10-11,-39,0,-100,0,0,-21,0,0,0,0,0,-45,0,0,0,0,-15,0,0,0,1,0,0,0,9,0,0,0,0,81
2021-10-12,0,100,88,0,0,0,0,100,-1,1,0,1,0,0,-100,0,-63,0,0,0,0,0,0,-34,-3,-48,0,0,100,-68
2021-10-13,0,-11,0,0,0,0,0,-100,0,100,24,-1,0,2,0,0,-28,0,0,0,-19,-6,0,0,0,0,0,0,0,-13
2021-10-14,0,0,0,0,0,0,0,0,0,-92,0,-54,0,0,0,0,0,0,0,0,0,3,0,0,-6,0,0,36,100,0
2021-10-18,0,0,0,-54,0,0,0,0,0,0,-10,-4,0,-2,-65,0,0,0,28,0,13,-35,0,0,0,0,0,-36,0,0
2021-10-19,0,74,0,0,0,0,0,0,0,0,-14,0,0,0,0,0,-40,0,-28,0,-80,0,0,0,1,0,0,0,100,0
2021-10-20,0,-51,-96,0,70,0,0,0,0,-9,0,0,0,12,100,0,0,0,0,0,0,0,0,0,100,0,0,0,-100,0
2021-10-21,0,0,0,0,-70,0,100,0,0,0,0,100,100,-12,-90,0,0,0,0,0,0,0,0,0,-90,83,0,0,-71,0
2021-10-22,0,-24,100,0,0,0,-100,0,0,100,0,-100,26,0,0,100,0,0,0,-30,0,0,100,0,-7,0,0,0,-100,0
2021-10-25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,-68,0,0,0,0,0,1,0,0,0,0,0,100,-29,0
2021-10-26,75,-67,-45,0,0,0,0,71,0,100,0,0,-100,0,-25,-27,0,1,0,-70,0,100,-100,0,0,-83,32,0,0,0
2021-10-27,-34,2,0,0,0,0,0,0,0,0,100,0,-26,0,-85,0,0,-1,52,0,0,0,5,0,-4,0,-32,-100,0,0
2021-10-28,-41,-14,-55,0,0,37,0,89,0,100,100,0,0,2,0,-3,0,0,-52,0,0,74,79,71,0,100,0,0,0,0
2021-10-29,0,-13,0,68,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-14,3,-11,1,-100,0,0,0,0
2021-11-01,0,0,0,-68,0,-37,0,-14,57,-100,-14,0,0,-2,100,0,0,0,0,0,0,-14,5,100,-1,0,0,0,0,0
2021-11-02,0,-27,0,0,0,0,0,0,-11,-3,0,0,0,0,-21,34,0,0,0,0,0,2,-92,0,0,0,0,0,0,0
2021-11-03,0,0,0,0,0,0,0,-70,1,-46,0,0,0,0,-15,0,0,0,0,0,1,-94,0,-99,2,0,0,0,0,58
2021-11-04,0,0,0,0,0,0,0,0,0,-93,-100,0,0,0,0,-34,0,0,0,0,13,0,0,0,0,0,0,0,0,47
2021-11-08,0,0,0,0,0,0,0,3,-47,0,0,0,0,0,-7,0,0,0,0,0,0,2,0,-61,-2,0,0,0,0,28
2021-11-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-10,0,0,0,0,0,0,0,48,0,-58,0,0,0,0,0,0,0,100,0,0,-6,-57,1,0,0,1,0,0,0,0
2021-11-11,0,0,0,0,0,0,0,-96,0,0,-86,0,0,0,0,0,0,-9,0,0,3,0,0,0,69,-1,0,100,0,0
2021-11-12,100,0,45,0,0,1,0,-31,0,0,0,0,100,0,-57,0,0,0,0,0,100,0,3,0,0,0,0,0,0,-73
2021-11-15,100,0,-45,0,0,69,0,0,0,0,0,46,0,0,1,0,49,100,28,0,-98,0,-4,0,-20,0,0,-100,0,-60
2021-11-16,0,0,34,0,0,-70,0,0,0,0,0,1,-100,0,0,0,0,0,-6,0,-12,0,0,0,1,0,0,100,0,0
2021-11-17,94,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-100,-22,0,0,0,0,0,-50,0,0,0,0,0
2021-11-18,-8,0,0,1,0,0,0,0,0,0,0,-41,0,0,0,100,-49,-22,0,0,-1,0,1,0,0,0,7,-33,0,0
2021-11-22,0,0,-18,0,0,0,0,0,0,0,0,-6,0,0,100,-63,0,100,0,30,100,0,-1,0,0,0,-7,-4,0,0
2021-11-23,-8,0,-16,-1,0,0,0,0,0,0,0,0,100,0,0,0,0,-100,0,-30,-100,0,0,0,0,0,0,43,0,0
2021-11-24,-100,0,100,0,0,0,0,0,0,0,0,100,-62,0,1,1,0,-69,6,0,0,0,3,0,0,0,0,0,0,0
2021-11-25,-97,1,0,0,0,0,0,0,0,0,0,-26,0,0,-61,0,0,0,-6,3,0,0,-3,0,0,0,0,-100,0,74
2021-11-26,0,2,-18,0,0,100,82,0,0,0,0,-6,0,100,0,-38,0,0,0,-3,0,0,0,0,0,0,0,100,20,-73
2021-11-29,-58,-3,55,0,0,0,0,0,0,0,0,0,0,-43,100,0,0,0,0,0,0,3,0,0,0,0,0,0,-20,0
2021-11-30,0,0,-97,0,0,0,76,0,0,0,0,-68,-38,-57,0,0,0,0,0,0,7,-3,0,100,0,0,0,-100,1,-1
2021-12-01,-23,0,-40,0,0,0,21,100,1,0,0,0,0,0,-19,0,0,0,0,0,-7,0,8,0,0,0,0,0,0,0
2021-12-02,0,4,0,0,0,-10,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-100,0,0,29,0,-1,0
2021-12-03,0,0,0,0,0,-3,0,-100,0,0,0,0,0,0,-100,0,0,0,0,0,1,100,0,69,0,0,0,0,0,0
2021-12-06,0,0,0,0,0,-87,0,100,-29,0,0,0,0,0,-21,0,0,0,0,0,7,-86,100,-16,0,0,12,0,0,0
2021-12-07,0,5,0,0,0,0,0,-68,-8,0,0,0,0,0,0,0,0,0,0,0,1,-8,-14,-6,0,0,0,0,0,14
2021-12-08,0,-9,0,0,0,0,0,-32,-64,0,0,0,100,3,0,0,0,0,0,0,0,-6,-22,-47,0,2,56,-6,0,-14
2021-12-09,0,0,0,0,0,0,-45,0,0,0,5,0,-100,-3,0,0,0,0,0,0,-9,3,0,0,0,-2,0,0,0,51
2021-12-10,0,0,0,0,0,5,0,0,0,0,-5,0,0,100,0,0,0,0,10,0,0,-3,-12,0,0,0,0,0,0,-13
2021-12-13,0,85,0,0,10,0,0,0,0,0,100,0,0,1,0,0,100,0,-10,0,0,0,-63,0,0,0,-88,0,0,0
2021-12-14,0,0,0,0,-10,-5,-100,91,0,100,-6,0,100,-13,0,0,-100,1,0,74,100,100,100,0,0,0,0,71,10,-11
2021-12-15,0,-11,0,0,0,0,-34,0,0,0,0,0,77,-68,100,0,0,0,0,0,-100,-100,-56,100,0,0,0,0,-10,-27
2021-12-16,0,-18,38,100,0,0,0,-91,0,0,-60,0,-45,-20,-29,0,100,0,0,-57,6,0,0,-67,0,100,-9,0,0,0
2021-12-17,0,100,0,0,0,0,0,0,0,-27,-34,0,100,1,100,17,-100,-1,0,0,0,0,-35,0,0,-81,0,-6,0,0
2021-12-20,0,-100,0,-34,0,0,0,100,0,-30,0,0,69,-1,1,-17,0,0,0,0,-6,0,-9,0,0,-19,0,0,0,0
2021-12-21,0,0,0,-66,0,0,0,-100,0,0,0,0,-100,0,-81,0,0,0,75,-17,0,0,3,-33,0,0,0,4,0,0
2021-12-22,0,-44,-38,0,49,0,0,0,0,0,0,0,-71,0,-91,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2021-12-23,0,0,0,100,-34,100,0,100,0,-43,100,98,-98,0,0,0,0,0,-1,0,100,2,-4,0,1,0,0,0,0,0
2021-12-24,0,10,0,0,0,-100,0,0,0,0,-45,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,-69,0,29
2021-12-27,0,75,0,93,-15,0,0,100,0,0,-41,0,-32,0,0,17,100,0,-56,0,-61,-2,100,78,0,100,0,0,0,-29
2021-12-28,0,-80,100,-56,0,0,0,-67,0,1,0,-98,0,0,0,-17,0,0,0,0,0,0,1,-78,0,0,11,100,0,0
2021-12-29,100,-17,-43,0,0,0,0,-42,0,0,-14,0,0,0,0,0,0,0,-18,0,0,0,0,0,0,9,0,0,0,0
2021-12-30,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,0,0,0,-40,0,-93,0,0,0,-11,0,0,0
2021-12-31,-91,1,-38,-2,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,-8,0,0,-71,0,-100,0,88
2022-01-03,1,-1,-19,-100,0,0,0,-91,0,0,0,0,0,0,4,0,-86,100,90,0,0,0,0,100,0,-17,0,0,0,-63
