date,ASIANPAINT.BO,AXISBANK.BO,BAJAJ-AUTO.BO,BAJAJFINSV.BO,BAJFINANCE.BO,BHARTIARTL.BO,DRREDDY.BO,HCLTECH.BO,HDFCBANK.BO,HINDUNILVR.BO,ICICIBANK.BO,INDUSINDBK.BO,INFY.BO,ITC.BO,JSWSTEEL.BO,KOTAKBANK.BO,LT.BO,M&M.BO,MARUTI.BO,NESTLEIND.BO,NTPC.BO,ONGC.BO,POWERGRID.BO,RELIANCE.BO,SBIN.BO,SUNPHARMA.BO,TCS.BO,TECHM.BO,TITAN.BO,ULTRACEMCO.BO
2021-04-01,100,0,0,-100,0,-48,0,0,0,0,31,0,0,2,-32,0,0,0,0,0,100,-72,0,0,0,0,0,0,0,-20
2021-04-05,0,0,0,0,0,0,52,1,0,0,0,0,0,0,0,0,0,0,-35,0,3,0,0,0,0,0,0,0,0,0
2021-04-06,35,0,0,-53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,1,0,0,0,0,0,0,0,0,0
2021-04-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-09,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2021-04-12,0,1,0,0,0,0,-52,0,0,0,0,0,0,0,0,0,0,100,0,0,4,0,0,0,0,0,26,100,0,0
2021-04-13,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-26,0,0,0
2021-04-15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-16,7,1,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
2021-04-19,3,0,0,0,0,0,0,0,0,0,0,0,0,-38,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2021-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-26,4,0,0,0,0,0,0,0,0,0,0,2,0,-59,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2021-04-27,0,0,0,0,0,0,0,1,0,0,1,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-28,21,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,0,0,0,6,0,0,0,0,0,0,-59,0,0
2021-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-03,-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,100,0,0,0,0,0,0,0,0,0
2021-05-04,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,-41,0,0
2021-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
