account_rewards,date
10041.62591210939,2022-10-11
-12709.26032199082,2022-10-12
440.5286481017247,2022-10-13
14855.193128662184,2022-10-14
23465.74470242299,2022-10-17
6460.2842504119035,2022-10-18
7703.887917709537,2022-10-19
37692.36939270003,2022-10-20
16401.709951843368,2022-10-21
-5271.294804016128,2022-10-24
30772.421959411586,2022-10-25
-4005.6273345947266,2022-10-27
17944.965737060644,2022-10-28
-10823.639603546122,2022-10-31
-26427.645753784105,2022-11-01
5894.099335967796,2022-11-02
12363.476599792484,2022-11-03
13273.691335876472,2022-11-04
-5985.249954223633,2022-11-07
-20409.548987853806,2022-11-09
13859.20855847164,2022-11-10
-6187.75597900385,2022-11-11
17649.40074900817,2022-11-14
-3318.636630981462,2022-11-15
6485.015117141651,2022-11-16
-7733.168496765196,2022-11-17
16137.409595092991,2022-11-18
242.92399314860813,2022-11-21
1053.4171752929688,2022-11-22
11526.210822067456,2022-11-23
10092.181060791016,2022-11-24
2036.985685790889,2022-11-25
-195.1166262512561,2022-11-28
23549.30126953125,2022-11-29
187.34701249701902,2022-11-30
2270.4058380126953,2022-12-01
-10911.88981628418,2022-12-02
-3075.9328002929688,2022-12-05
6851.730545043945,2022-12-06
22783.211502075195,2022-12-07
-7261.282962341327,2022-12-08
-847.7815246582031,2022-12-09
15733.507120468188,2022-12-12
-9511.417999267578,2022-12-13
-8774.841735839844,2022-12-14
-9160.710174560547,2022-12-15
30124.108520507812,2022-12-16
-6802.425140380859,2022-12-19
-33296.467712402344,2022-12-20
-12290.72817993164,2022-12-21
-26275.83087158203,2022-12-22
27939.697540283203,2022-12-23
8847.340118301334,2022-12-26
-17319.363435546868,2022-12-27
24768.715094680898,2022-12-28
-12556.332153320312,2022-12-29
16243.544860839844,2022-12-30
23458.76788330078,2023-01-02
-13719.728515625,2023-01-03
-10029.791381835938,2023-01-04
-17727.60028076172,2023-01-05
43438.59356689453,2023-01-06
