account_rewards,date
-15700.264937240398,2020-12-30
507.9254127959721,2020-12-31
7658.328765869141,2021-01-01
3713.0168838500977,2021-01-04
22239.06427001953,2021-01-05
-9457.075350982603,2021-01-06
42731.5361250611,2021-01-07
6275.773468017578,2021-01-08
3071.464895126177,2021-01-11
3383.359161376953,2021-01-12
-10190.199421371333,2021-01-13
-23694.61377697764,2021-01-14
-24159.52562049846,2021-01-15
25063.02369461069,2021-01-18
6317.433962493669,2021-01-19
-12145.126482582185,2021-01-20
-31075.44003990153,2021-01-21
-22479.711595382774,2021-01-22
-21733.178229980404,2021-01-25
-8734.704587226734,2021-01-27
-19651.603574584937,2021-01-28
41620.50217539212,2021-01-29
23904.19358513644,2021-02-01
15154.986309860367,2021-02-02
5215.051765624899,2021-02-03
-12764.418907699408,2021-02-04
25016.402598281857,2021-02-05
13441.652831520187,2021-02-08
3427.7637557068374,2021-02-09
4121.602801628178,2021-02-10
-1005.4761673051398,2021-02-11
33186.6854115068,2021-02-12
-5489.521176849259,2021-02-15
-20144.892625946086,2021-02-16
-806.4895607223734,2021-02-17
4993.750479705865,2021-02-18
-40658.14650727087,2021-02-19
3354.3308635558933,2021-02-22
17525.349468292436,2021-02-23
9104.403466369724,2021-02-24
-45011.51757458504,2021-02-25
18667.628081131028,2021-02-26
20143.55010481272,2021-03-01
34666.911315239035,2021-03-02
-5523.790390953189,2021-03-03
-19015.194998565596,2021-03-04
-4601.029989318689,2021-03-05
8425.363826171728,2021-03-08
10500.429936371045,2021-03-09
-12898.876298004063,2021-03-10
-16647.362878845306,2021-03-12
15223.901898773154,2021-03-15
-20245.038345596287,2021-03-16
-13151.269146591192,2021-03-17
4433.38120805379,2021-03-18
4011.1868580856826,2021-03-19
16371.164714096114,2021-03-22
-23040.145342590287,2021-03-23
-32508.542221893324,2021-03-24
18266.0572543717,2021-03-25
14999.550628677476,2021-03-26
1365.0180663452484,2021-03-30
