date,ASIANPAINT.BO,AXISBANK.BO,BAJAJ-AUTO.BO,BAJAJFINSV.BO,BAJFINANCE.BO,BHARTIARTL.BO,DRREDDY.BO,HCLTECH.BO,HDFCBANK.BO,HINDUNILVR.BO,ICICIBANK.BO,INDUSINDBK.BO,INFY.BO,ITC.BO,JSWSTEEL.BO,KOTAKBANK.BO,LT.BO,M&M.BO,MARUTI.BO,NESTLEIND.BO,NTPC.BO,ONGC.BO,POWERGRID.BO,RELIANCE.BO,SBIN.BO,SUNPHARMA.BO,TCS.BO,TECHM.BO,TITAN.BO,ULTRACEMCO.BO
2021-07-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,0,0,0,0,0,1,100,-100,-43,0,0,83,100,0,-52
2021-07-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1,0,77,0,-100,0,-36,0,0,0,-100,0,0
2021-07-07,0,35,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,-59,-1,0,-19,0,1,0,0,0,0,0
2021-07-08,0,-35,0,0,0,0,0,0,0,1,0,0,0,-2,1,0,0,0,0,-18,0,3,-33,0,-1,0,-54,0,0,33
2021-07-09,0,100,0,0,0,0,10,0,0,0,0,0,0,0,-62,0,0,0,0,0,0,0,24,0,0,0,-29,0,0,0
2021-07-12,0,-2,0,0,0,0,-10,0,0,-1,1,0,0,0,0,0,45,0,0,0,2,0,-78,0,0,0,0,0,0,0
2021-07-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,-45,0,0,0,-2,2,0,0,0,0,100,100,0,-57
2021-07-14,0,-96,0,0,0,0,100,0,0,0,-1,0,0,0,-78,60,100,-1,0,0,0,-100,0,0,0,0,-51,100,0,-85
2021-07-15,0,-2,0,0,0,0,-100,0,0,0,12,0,0,0,-100,-60,100,100,0,0,0,3,100,0,0,0,-49,-100,0,100
2021-07-16,0,63,0,0,0,0,0,0,0,0,-12,0,0,0,100,0,0,0,0,0,0,0,-93,0,0,1,0,-67,0,-4
2021-07-19,0,-17,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,-6,-7,0,0,-1,0,-1,0,2
2021-07-20,0,-37,0,0,0,1,0,0,0,0,0,0,0,-7,0,1,0,-8,0,0,1,0,0,0,0,0,0,-32,0,9
2021-07-22,0,-5,0,0,0,-1,0,60,0,0,0,0,0,0,-20,-1,-100,57,0,0,55,0,0,32,0,100,82,0,0,-100
2021-07-23,0,0,0,0,0,84,0,97,0,2,0,0,0,0,-100,100,-100,0,0,0,0,10,100,100,0,-100,76,0,0,-7
2021-07-26,0,0,0,0,0,0,0,100,0,0,0,0,71,0,1,-73,0,-100,0,0,-56,-10,3,0,0,0,0,0,0,0
2021-07-27,0,-2,45,100,0,-84,0,0,0,1,0,1,-20,1,-51,-27,0,-31,0,0,0,0,1,-62,0,0,0,0,0,0
2021-07-28,0,0,0,-100,0,0,0,-46,0,0,0,36,100,1,-6,0,0,0,0,0,1,0,-39,0,0,0,0,0,0,0
2021-07-29,1,-2,0,0,27,2,0,-76,0,-3,0,-37,100,100,0,0,0,-18,0,0,-1,0,-35,-47,0,0,-40,0,0,0
2021-07-30,0,0,0,0,0,0,0,0,0,0,0,0,-6,-23,0,0,0,0,0,0,2,0,0,-23,0,0,0,0,0,8
2021-08-02,-1,0,-45,0,27,-2,0,0,0,0,1,0,-54,1,-8,0,100,0,0,0,1,0,-30,0,0,0,0,0,0,-8
2021-08-03,0,0,0,100,-43,0,0,0,0,0,0,100,-33,-28,0,0,-100,0,0,96,100,0,0,0,0,100,0,0,0,0
2021-08-04,0,0,0,-100,0,0,46,-94,0,100,-1,0,0,-52,-20,0,0,0,0,-96,-34,0,0,0,1,4,-11,0,0,0
2021-08-05,0,0,0,0,6,3,0,-41,0,0,0,0,0,100,0,0,0,0,0,0,0,1,0,0,0,-24,0,0,0,0
2021-08-06,30,30,0,0,-17,-3,-46,22,39,-100,100,-100,-58,-100,-42,0,63,100,0,0,100,-1,100,0,-1,-5,-100,15,31,0
2021-08-09,0,-30,0,100,100,0,0,100,-39,0,-84,0,-86,0,0,0,0,-100,0,0,0,0,4,72,0,-75,0,0,0,0
2021-08-10,0,0,65,-47,-100,0,0,0,0,0,0,0,0,0,0,0,-63,0,0,0,-87,0,-31,-72,5,0,-7,-15,0,100
2021-08-11,0,0,-65,0,0,100,0,-56,60,0,0,0,100,0,0,0,0,0,0,100,0,0,3,0,0,82,0,100,0,-51
2021-08-12,0,0,0,0,70,-41,0,-38,-17,1,-16,1,-100,0,100,0,0,0,0,0,100,0,0,0,-5,-82,0,-100,-31,0
2021-08-13,0,0,0,-53,0,-59,0,-9,-43,0,0,-1,0,0,-100,0,0,0,0,1,0,2,0,0,0,0,78,0,0,0
2021-08-16,0,0,0,100,-30,0,0,1,0,0,0,0,0,0,0,0,0,0,68,-100,0,100,-57,0,0,0,-78,0,0,0
2021-08-17,-28,0,0,1,-40,0,0,-20,0,100,0,0,0,0,100,0,0,0,-7,66,-100,-100,-1,0,0,0,0,0,0,0
2021-08-18,-2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,-58,0,1,1,0,0,0,0,0,0,-49
2021-08-20,0,-8,0,0,0,7,0,0,0,0,0,0,-14,0,0,0,0,0,7,-9,-48,5,-19,0,0,0,0,0,0,0
2021-08-23,80,0,0,-100,0,-7,0,0,0,-9,0,0,0,11,-92,0,0,0,0,0,-34,0,0,0,0,0,0,0,0,0
2021-08-24,-80,0,0,-1,0,0,53,0,0,0,3,0,0,0,0,0,0,0,0,0,0,-8,3,0,0,0,0,0,0,0
2021-08-25,0,0,0,0,0,0,-53,1,0,93,0,1,0,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-26,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,2,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0
2021-08-27,0,0,0,0,0,0,0,-1,0,1,0,0,0,-11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2021-08-30,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,-2,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
2021-08-31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,0,0,0,0,-2,0,0,0,0,0
2021-09-01,-4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-32,1,0,8,0,0,0,0,0,0
2021-09-02,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0,0,0,-1,0,-8,0,0,0,0,0,0
2021-09-03,0,0,0,0,0,0,0,0,0,-59,0,0,0,-4,-16,0,0,0,0,0,0,0,11,0,0,0,0,0,3,21
2021-09-06,0,0,100,0,0,0,0,0,0,0,0,1,0,0,-10,0,0,0,-79,7,0,4,0,0,100,0,0,0,100,-10
2021-09-07,0,0,-1,0,0,0,0,0,0,0,0,0,0,15,100,0,0,0,-16,-7,0,1,0,0,0,0,27,0,-22,0
2021-09-08,100,100,-12,0,0,0,39,0,0,-34,0,1,0,0,-86,0,0,0,-39,0,100,3,0,0,0,0,-18,0,0,-11
2021-09-09,0,0,-82,0,0,0,0,0,0,0,0,0,0,-15,-14,0,0,0,0,0,6,0,0,0,-20,1,-9,0,-81,65
2021-09-13,0,1,0,0,0,0,0,0,0,-93,0,-2,0,0,0,0,2,0,0,0,-48,-8,-11,0,1,0,0,0,0,33
2021-09-14,-18,100,-5,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,0,0,0,-58,1,0,0,-26,25,0,0,0,0
2021-09-15,0,2,0,0,0,0,-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,-55,0,0,0,73,0
2021-09-16,-82,0,0,0,70,0,-12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,-4,0,0,0,-26,0,0,-73,-2
2021-09-17,0,-70,0,0,-25,0,0,0,0,0,100,0,0,-13,0,0,0,0,100,0,100,0,0,0,1,66,0,100,0,-96
2021-09-20,0,-62,0,100,-29,0,0,100,0,0,-72,0,0,2,0,0,0,0,0,82,-27,100,1,0,-1,0,0,-100,0,0
2021-09-21,0,0,0,0,-16,0,0,0,0,0,-27,0,0,0,1,0,0,0,0,-57,1,-100,0,0,0,0,0,0,1,34
2021-09-22,0,0,0,-22,0,0,0,0,0,0,0,0,0,100,-1,0,0,22,0,-25,1,0,-1,0,100,0,0,0,0,0
2021-09-23,0,-57,0,0,0,0,0,0,0,0,0,0,0,-88,100,0,0,0,0,0,-75,0,0,0,1,0,0,0,4,0
