account_rewards,date
-3651.035709152231,2022-01-05
7860.604073486291,2022-01-06
16856.060692138737,2022-01-07
-4537.4139481354505,2022-01-10
-3127.2580052183475,2022-01-11
-26997.740454559214,2022-01-12
-33256.21943151858,2022-01-13
6127.249568298459,2022-01-14
-10115.220249526901,2022-01-17
-10669.773762741126,2022-01-18
-26864.385096908547,2022-01-19
-14138.901129089296,2022-01-20
-48244.34736222844,2022-01-21
2299.6165823822375,2022-01-24
-27016.592402114766,2022-01-25
-8217.729695800692,2022-01-27
18531.285804641666,2022-01-28
12953.080871093785,2022-01-31
7857.678352401825,2022-02-01
-9132.326458557043,2022-02-02
-560.5714832763188,2022-02-03
-32801.31327110273,2022-02-04
6774.382196930004,2022-02-07
16483.02996846009,2022-02-08
6802.384714782704,2022-02-09
-18338.699997039745,2022-02-10
-1376777.9021368101,2022-02-11
1372330.865814209,2022-02-14
-7889.889993225224,2022-02-15
-13524.681724365102,2022-02-16
-8775.982788085938,2022-02-17
-16979.999084472656,2022-02-18
-7726.200045562815,2022-02-21
-343.0004107512068,2022-02-22
-71468.87826780719,2022-02-23
32149.916489440948,2022-02-24
11873.412506988738,2022-02-25
-27671.931807434186,2022-02-28
-64924.13374488824,2022-03-02
1288.6118935700506,2022-03-03
-33663.46608517459,2022-03-04
11421.976094497833,2022-03-07
32983.473227386596,2022-03-08
12046.013594116317,2022-03-09
6899.038034439087,2022-03-10
10840.324880584842,2022-03-11
38.11426042160019,2022-03-14
28834.718050369527,2022-03-15
28626.78224700922,2022-03-16
-30814.100113792578,2022-03-17
12119.703925888287,2022-03-21
-4567.147498588543,2022-03-22
20992.031389892567,2022-03-23
-6508.691995178349,2022-03-24
-1499.5809396053664,2022-03-25
11185.991381744156,2022-03-28
16270.126485550078,2022-03-29
-1408.0324846191797,2022-03-30
7539.068068176275,2022-03-31
22703.92002233886,2022-04-01
-4501.953115600394,2022-04-04
-6775.097565094009,2022-04-05
