account_rewards,date
15760.132649093634,2023-01-10
24975.496520996094,2023-01-11
19831.377960205078,2023-01-12
9020.013259887695,2023-01-13
18040.55485534668,2023-01-16
-15330.872573852539,2023-01-17
-12417.380310058594,2023-01-18
-6733.67724609375,2023-01-19
-59744.45300292969,2023-01-20
-4332.922576904297,2023-01-23
-21975.634796142578,2023-01-24
-1824.2483825683594,2023-01-25
31672.97346496582,2023-01-27
36618.54138183594,2023-01-30
7955.016510009766,2023-01-31
9333.87661743164,2023-02-01
2911.9302368164062,2023-02-02
-11566.43798828125,2023-02-03
-10932.117111206055,2023-02-06
33821.69543457031,2023-02-07
-11901.470581054688,2023-02-08
721.2859039306641,2023-02-09
-2193.1900482177734,2023-02-10
-6445.3359375,2023-02-13
2411.305206298828,2023-02-14
8561.393356323242,2023-02-15
22581.43098449707,2023-02-16
23117.832321166992,2023-02-17
-16906.663375854492,2023-02-20
-27467.418670654297,2023-02-21
-4828.455520629883,2023-02-22
10370.163940429688,2023-02-23
-6306.343780517578,2023-02-24
11351.300521850586,2023-02-27
6163.627670288086,2023-02-28
3274.7540893554688,2023-03-01
-12530.520202636719,2023-03-02
790.5827941894531,2023-03-03
11534.470458984375,2023-03-06
-5390.328262329102,2023-03-08
-4214.391448974609,2023-03-09
-30459.26513671875,2023-03-10
-6037.128768920898,2023-03-13
7348.439071655273,2023-03-14
170.35440063476562,2023-03-15
37901.79051208496,2023-03-16
-11389.73779296875,2023-03-17
19452.315185546875,2023-03-20
6876.362579345703,2023-03-21
3222.0374450683594,2023-03-22
-5543.754699707031,2023-03-23
10128.040893554688,2023-03-24
-11866.665328979492,2023-03-27
34849.79559326172,2023-03-28
12431.826843261719,2023-03-29
6635.128112792969,2023-03-31
10541.817962646484,2023-04-03
-1641.0194244384766,2023-04-05
3932.880142211914,2023-04-06
8653.456405639648,2023-04-10
-10863.88835144043,2023-04-11
-7525.484512329102,2023-04-12
