account_value,date,daily_return
1501572.8756887524,2023-01-10,
1517333.008337846,2023-01-11,0.010495749426656875
1542308.5048588421,2023-01-12,0.01646012864925117
1562139.8828190472,2023-01-13,0.012858243274759262
1571159.896078935,2023-01-16,0.0057741392810546355
1589200.4509342816,2023-01-17,0.011482316281347105
1573869.578360429,2023-01-18,-0.009646909277454374
1561452.1980503704,2023-01-19,-0.007889713659116726
1554718.5208042767,2023-01-20,-0.004312445334222481
1494974.067801347,2023-01-23,-0.03842782613281215
1490641.1452244427,2023-01-24,-0.002898326245402205
1468665.5104283001,2023-01-25,-0.01474240454622211
1466841.2620457318,2023-01-27,-0.001242112904276227
1498514.2355106976,2023-01-30,0.02159263874319506
1535132.7768925335,2023-01-31,0.024436565575472358
1543087.7934025433,2023-02-01,0.005181972940550894
1552421.670019975,2023-02-02,0.006048830570327013
1555333.6002567913,2023-02-03,0.0018757340824666624
1543767.16226851,2023-02-06,-0.007436628377585075
1532835.045157304,2023-02-07,-0.007081454625023742
1566656.7405918743,2023-02-08,0.02206479786681781
1554755.2700108197,2023-02-09,-0.007596731480923102
1555476.5559147503,2023-02-10,0.00046392246924220615
1553283.3658665325,2023-02-13,-0.0014099794946301758
1546838.0299290325,2023-02-14,-0.004149491380089798
1549249.3351353314,2023-02-15,0.001558860824238728
1557810.7284916546,2023-02-16,0.005526155901545371
1580392.1594761517,2023-02-17,0.014495619122074865
1603509.9917973187,2023-02-20,0.014627908764638375
1586603.3284214642,2023-02-21,-0.01054353478452874
1559135.90975081,2023-02-22,-0.017312089404213027
1554307.45423018,2023-02-23,-0.0030968791690531017
1564677.6181706097,2023-02-24,0.006671887156049161
1558371.2743900921,2023-02-27,-0.004030442889501273
1569722.5749119427,2023-02-28,0.007284079672408739
1575886.2025822308,2023-03-01,0.003926571337380391
1579160.9566715863,2023-03-02,0.002078039698545142
1566630.4364689495,2023-03-03,-0.007934922751033247
1567421.019263139,2023-03-06,0.0005046389855487554
1578955.4897221234,2023-03-08,0.007358884637394203
1573565.1614597943,2023-03-09,-0.003413857007000032
1569350.7700108197,2023-03-10,-0.0026782439978938477
1538891.504874101,2023-03-13,-0.019408831804064275
1532854.37610518,2023-03-14,-0.003923037296521326
1540202.8151768353,2023-03-15,0.004793957721102471
1540373.16957747,2023-03-16,0.00011060517417327276
1578274.960089555,2023-03-17,0.02460558990551731
1566885.2222965863,2023-03-20,-0.007216573842318663
1586337.5374821331,2023-03-21,0.01241463950820565
1593213.9000614788,2023-03-22,0.0043347411360257215
1596435.9375065472,2023-03-23,0.0020223508249230804
1590892.1828068402,2023-03-24,-0.003472581999353963
1601020.2237003949,2023-03-27,0.006366264793435272
1589153.5583714154,2023-03-28,-0.007411939682780755
1624003.353964677,2023-03-29,0.021929784827701804
1636435.1808079388,2023-03-31,0.0076550499806000705
1643070.3089207318,2023-04-03,0.004054623238738397
1653612.1268833783,2023-04-05,0.006415926272546946
1651971.1074589398,2023-04-06,-0.00099238473022778
1655903.9876011517,2023-04-10,0.002380719689620614
1664557.4440067913,2023-04-11,0.005225820138385906
1653693.555655351,2023-04-12,-0.006526592633108397
1646168.0711430218,2023-04-13,-0.004550712849181293
