account_value,date,daily_return
1424131.0072818885,2022-01-05,
1423351.004154081,2022-01-06,-0.0005477046169342081
1424798.8225482614,2022-01-07,0.0010171899903501647
1445568.7613042428,2022-01-10,0.014577453621722025
1444741.2715937784,2022-01-11,-0.0005724319261837252
1444451.3711416605,2022-01-12,-0.00020065907842314878
1435216.9279631174,2022-01-13,-0.006393045389436969
1425552.8993564737,2022-01-14,-0.00673349681038049
1432206.8359849832,2022-01-17,0.004667618179243549
1423805.4756761456,2022-01-18,-0.005866024444059925
1397245.5858440537,2022-01-19,-0.01865415626350153
1376391.5154633925,2022-01-20,-0.014925128833428114
1378798.9222892898,2022-01-21,0.0017490712481518234
1345533.518754492,2022-01-24,-0.024126363167999543
1356599.4390630096,2022-01-25,0.00822418776959255
1342280.0979743255,2022-01-27,-0.010555319924482887
1339048.0604270843,2022-01-28,-0.002407871167961706
1354563.150068335,2022-01-31,0.011586656296938447
1367932.0553562837,2022-02-01,0.009869532688287164
1363474.5873291385,2022-02-02,-0.0032585449033755154
1348862.352344489,2022-02-03,-0.010716910399681812
1354436.2451958684,2022-02-04,0.0041322918099770956
1334019.8744663305,2022-02-07,-0.015073703765647095
1335747.1352751686,2022-02-08,0.0012947789173898272
1350666.55411222,2022-02-09,0.011169343690172306
1362202.4779880745,2022-02-10,0.008540911774806759
1334079.8589292977,2022-02-11,-0.020644962487744833
201810.7900565865,2022-02-14,-0.8487266045538269
1336082.5994924386,2022-02-15,5.620471576954876
1330931.8764558327,2022-02-16,-0.003855093269355181
1316331.6378923869,2022-02-17,-0.010969936795206303
1314907.8008083415,2022-02-18,-0.001081670487176889
1300189.775372123,2022-02-21,-0.01119319957427467
1290833.5432595897,2022-02-22,-0.007196051137885351
1289344.2554493786,2022-02-23,-0.0011537411759926508
1215407.7871574322,2022-02-24,-0.057344241446344535
1266458.528372047,2022-02-25,0.042002973614321704
1272595.407896385,2022-02-28,0.004845701131821922
1262030.5599438704,2022-03-02,-0.008301812097513794
1267602.7657627943,2022-03-03,0.004415270117683834
1269108.2907520826,2022-03-04,0.0011876946232303176
1231793.980284149,2022-03-07,-0.029401990941073097
1246803.4318691406,2022-03-08,0.012185034044028376
1270101.0303390806,2022-03-09,0.018685863284009008
1286691.4590774765,2022-03-10,0.01306229059114039
1280549.0127704008,2022-03-11,-0.004773830014757063
1303931.038520401,2022-03-14,0.018259375874582373
1310708.6023102722,2022-03-15,0.005197793126821892
1331489.826529541,2022-03-16,0.015854953711785802
1370207.952232773,2022-03-17,0.029078799500968477
1352949.0837356036,2022-03-21,-0.012595802315295113
1366505.0712062991,2022-03-22,0.010019584353659683
1369039.56865123,2022-03-23,0.0018547296298678795
1380452.7422677767,2022-03-24,0.008336628011264002
1367952.7694078526,2022-03-25,-0.009054980643081967
1365527.363700455,2022-03-28,-0.0017730186024239591
1372097.8139024053,2022-03-29,0.004811657661802471
1371977.0233175284,2022-03-30,-8.80335087287687e-05
1376912.257835198,2022-03-31,0.003597169948033052
1388828.2628172995,2022-04-01,0.008654149830023217
1399290.4835421378,2022-04-04,0.007533127748722057
1396014.0445077445,2022-04-05,-0.002341500262403984
1394158.8210262994,2022-04-06,-0.001328943278718464
