account_rewards,date
-36093.12853167718,2021-04-01
17708.20909970859,2021-04-05
15915.91828774265,2021-04-06
-1224.9586181640625,2021-04-07
-649.66162109375,2021-04-08
-11471.571077972418,2021-04-09
3631.4942321472336,2021-04-12
2252.916409545811,2021-04-13
23311.782627075212,2021-04-15
-39327.43895846559,2021-04-16
6423.812262573279,2021-04-19
-1046.2594604492188,2021-04-20
-2510.443572998047,2021-04-22
20295.04769897461,2021-04-23
9636.558477294864,2021-04-26
24461.821680023335,2021-04-27
-7640.351630371064,2021-04-28
-21277.599517822266,2021-04-29
11915.53726196289,2021-04-30
-3449.1975060119294,2021-05-03
-1036.675803505117,2021-05-04
7649.143455505371,2021-05-05
-6162.433006286621,2021-05-06
4599.685684204102,2021-05-07
1286.067985534668,2021-05-10
-3481.7865600585938,2021-05-11
45074.971099853516,2021-05-12
7531.126791198738,2021-05-14
38988.11210241704,2021-05-17
647.2651062011719,2021-05-18
-5419.763229431119,2021-05-19
22108.90358734131,2021-05-20
-1274.312744140625,2021-05-21
19294.46548060607,2021-05-24
8395.317977905273,2021-05-25
13802.094177246094,2021-05-26
-6292.350646972656,2021-05-27
3950.100326538086,2021-05-28
-4524.429733276367,2021-05-31
2644.1224212646484,2021-06-01
2073.418975830078,2021-06-02
-5432.436004638672,2021-06-03
6011.728118896484,2021-06-04
483.2323913574219,2021-06-07
-4619.823532104492,2021-06-08
-834.8596086043399,2021-06-09
-754.0547104722355,2021-06-10
-4672.558319091797,2021-06-11
22725.221282958984,2021-06-14
-10435.628051757812,2021-06-15
-1275.2687683105469,2021-06-16
9986.189182640053,2021-06-17
10167.728012084961,2021-06-18
-9374.211616516113,2021-06-21
-8235.790100097656,2021-06-22
16643.599075317383,2021-06-23
-11331.749687194824,2021-06-24
-7036.613311767578,2021-06-25
-1893.5532836914062,2021-06-28
-2170.2312774658203,2021-06-29
15699.916465759277,2021-06-30
-7490.385475158691,2021-07-01
